$$HAR,0:0:0,0,0,0,0,0,0,73878,3499,100000,0,0
$$HAR,0:0:2,0,0,0,0,0,9999,98149,2458,52114,0,0
$$HAR,0:0:5,0,0,0,0,0,9999,98151,2458,51538,0,0
$$HAR,0:0:8,0,0,0,0,0,9999,98149,2459,50794,0,0
$$HAR,0:0:11,0,0,0,0,0,9999,98149,2460,50255,0,0
$$HAR,0:0:14,0,0,0,0,0,9999,98151,2461,50079,0,0
$$HAR,0:0:17,0,0,0,0,0,9999,98149,2461,50293,0,0
$$HAR,0:0:20,0,0,0,0,0,9999,98149,2462,50469,0,0
$$HAR,0:0:23,0,0,0,0,0,9999,98151,2463,50504,0,0
$$HAR,0:0:26,0,0,0,0,0,9999,98149,2463,50498,0,0
$$HAR,0:0:29,0,0,0,0,0,9999,98149,2464,50459,0,0
$$HAR,0:0:32,0,0,0,0,0,9999,98151,2465,50545,0,0
$$HAR,0:0:35,0,0,0,0,0,9999,98149,2465,50733,0,0
$$HAR,0:0:38,0,0,0,0,0,9999,98153,2466,50909,0,0
$$HAR,0:0:41,0,0,0,0,0,9999,98151,2467,50834,0,0
$$HAR,0:0:44,0,0,0,0,0,9999,98151,2468,50527,0,0
$$HAR,0:0:47,0,0,0,0,0,9999,98153,2469,50160,0,0
$$HAR,0:0:50,0,0,0,0,0,9999,98151,2470,49871,0,0
$$HAR,0:0:53,0,0,0,0,0,9999,98151,2470,49683,0,0
$$HAR,0:0:56,0,0,0,0,0,9999,98153,2471,49490,0,0
$$HAR,0:0:59,0,0,0,0,0,9999,98153,2471,49340,0,0
$$HAR,0:1:2,0,0,0,0,0,9999,98151,2471,49358,0,0
$$HAR,0:1:5,0,0,0,0,0,9999,98151,2471,49439,0,0
$$HAR,0:1:8,0,0,0,0,0,9999,98151,2472,49468,0,0
$$HAR,0:1:11,0,0,0,0,0,9999,98151,2472,49387,0,0
$$HAR,0:1:14,0,0,0,0,0,9999,98151,2472,49281,0,0
$$HAR,0:1:17,0,0,0,0,0,9999,98151,2472,49200,0,0
$$HAR,0:1:20,0,0,0,0,0,9999,98151,2471,49109,0,0
$$HAR,0:1:23,0,0,0,0,0,9999,98151,2471,49021,0,0
$$HAR,0:1:26,0,0,0,0,0,9999,98153,2471,48955,0,0
$$HAR,0:1:29,0,0,0,0,0,9999,98151,2470,48904,0,0
$$HAR,0:1:32,0,0,0,0,0,9999,98151,2469,48880,0,0
$$HAR,0:1:35,0,0,0,0,0,9999,98153,2469,48867,0,0
$$HAR,0:1:38,0,0,0,0,0,9999,98151,2468,48839,0,0
$$HAR,0:1:41,0,0,0,0,0,9999,98151,2467,48819,0,0
$$HAR,0:1:44,0,0,0,0,0,9999,98153,2466,48863,0,0
$$HAR,0:1:47,0,0,0,0,0,9999,98149,2466,49136,0,0
$$HAR,0:1:50,0,0,0,0,0,9999,98149,2465,49374,0,0
$$HAR,0:1:53,0,0,0,0,0,9999,98147,2464,49414,0,0
$$HAR,0:1:56,0,0,0,0,0,9999,98149,2463,49402,0,0
$$HAR,0:1:59,0,0,0,0,0,9999,98149,2462,49323,0,0
$$HAR,0:0:0,0,0,0,0,0,0,73878,3499,100000,0,0
$$HAR,0:0:2,0,0,0,0,0,9999,98149,2457,49300,0,0
$$HAR,0:0:5,0,0,0,0,0,9999,98149,2457,49338,0,0
$$HAR,0:0:8,0,0,0,0,0,9999,98149,2457,49420,0,0
$$HAR,0:0:11,0,0,0,0,0,9999,98149,2457,49525,0,0
$$HAR,0:0:14,0,0,0,0,0,9999,98151,2456,49582,0,0
$$HAR,0:0:17,0,0,0,0,0,9999,98149,2456,49525,0,0
$$HAR,0:0:20,0,0,0,0,0,9999,98151,2456,49912,0,0
$$HAR,0:0:23,0,0,0,0,0,9999,98151,2455,50122,0,0
$$HAR,0:0:26,0,0,0,0,0,9999,98153,2454,49975,0,0
$$HAR,0:0:29,0,0,0,0,0,9999,98151,2454,49775,0,0
$$HAR,0:0:32,0,0,0,0,0,9999,98153,2453,49590,0,0
$$HAR,0:0:35,0,0,0,0,0,9999,98151,2452,49490,0,0
$$HAR,0:0:38,0,0,0,0,0,9999,98153,2452,49458,0,0
$$HAR,0:0:41,0,0,0,0,0,9999,98153,2451,49437,0,0
$$HAR,0:0:44,0,0,0,0,0,9999,98155,2451,49425,0,0
$$HAR,0:0:47,0,0,0,0,0,9999,98149,2450,49417,0,0
$$HAR,0:0:50,0,0,0,0,0,9999,98151,2450,49431,0,0
$$HAR,0:0:53,0,0,0,0,0,9999,98151,2450,49437,0,0
$$HAR,0:0:56,0,0,0,0,0,9999,98153,2449,49437,0,0
