$$HAR,13:58:02,420271511,-936539498,265870,0,59,118,98237,2759,54197,3,0
$$HAR,13:58:05,420271509,-936539518,266377,0,23,118,98237,2761,54333,3,0
$$HAR,13:58:08,420271496,-936539520,266142,0,17,120,98241,2762,54648,3,0
$$HAR,13:58:11,420271476,-936539540,265566,0,45,111,98239,2764,54696,3,0
$$HAR,13:58:14,420271495,-936539554,265470,0,66,109,98241,2765,54578,3,0
$$HAR,13:58:17,420271506,-936539568,265405,0,17,131,98241,2765,54475,3,0
$$HAR,13:58:20,420271505,-936539557,264858,0,140,141,98239,2766,54667,3,0
$$HAR,13:58:23,420271514,-936539543,264261,0,36,120,98241,2765,54707,3,0
$$HAR,13:58:26,420271520,-936539529,264513,0,47,150,98241,2762,54345,3,0
$$HAR,13:58:29,420271512,-936539542,264604,0,58,118,98239,2759,53920,3,0
$$HAR,13:58:32,420271501,-936539537,264526,0,101,105,98237,2755,53796,3,0
$$HAR,13:58:35,420271486,-936539543,264726,0,90,121,98239,2750,53332,3,0
$$HAR,13:58:38,420271473,-936539547,265246,0,98,121,98241,2744,53123,3,0
$$HAR,13:58:41,420271465,-936539532,265880,0,131,121,98239,2737,53012,3,0
$$HAR,13:58:44,420271463,-936539526,266290,0,50,107,98239,2731,53305,3,0
$$HAR,13:58:47,420271438,-936539539,265432,0,53,107,98237,2726,53746,3,0
$$HAR,13:58:50,420271429,-936539547,265050,0,7,107,98239,2721,54145,3,0
$$HAR,13:58:53,420271427,-936539556,265130,0,34,107,98239,2717,54548,3,0
$$HAR,13:58:56,420271437,-936539554,265606,0,144,107,98237,2714,54926,3,0
$$HAR,13:58:59,420271428,-936539547,265829,0,92,111,98235,2711,55216,3,0
$$HAR,13:59:02,420271436,-936539528,266209,0,19,107,98235,2709,55407,3,0
$$HAR,13:59:05,420271438,-936539501,266800,0,91,114,98237,2709,55537,3,0
$$HAR,13:59:08,420271436,-936539475,267329,0,48,124,98235,2708,55423,3,0
$$HAR,13:59:11,420271452,-936539465,267903,0,60,114,98237,2707,55253,3,0
$$HAR,13:59:14,420271478,-936539453,268496,0,66,114,98237,2706,55354,3,0
$$HAR,13:59:17,420271493,-936539452,268657,0,96,103,98237,2706,55528,3,0
$$HAR,13:59:20,420271496,-936539448,268320,0,64,104,98237,2707,55526,3,0
$$HAR,13:59:23,420271519,-936539455,268900,0,56,103,98237,2707,55402,3,0
$$HAR,13:59:26,420271539,-936539466,269242,0,158,103,98237,2707,55436,3,0
$$HAR,13:59:29,420271622,-936539507,270039,0,108,103,98237,2706,55502,3,0
$$HAR,13:59:32,420271629,-936539514,270071,0,99,99,98239,2704,55506,3,0
$$HAR,13:59:35,420271614,-936539526,269500,0,139,114,98237,2703,55739,3,0
$$HAR,13:59:38,420271613,-936539527,268929,0,208,111,98239,2701,55901,3,0
$$HAR,13:59:41,420271584,-936539481,267833,0,99,117,98239,2700,55926,3,0
$$HAR,13:59:44,420271562,-936539446,267085,0,81,104,98241,2700,55901,3,0
$$HAR,13:59:47,420271549,-936539386,266707,0,15,106,98239,2699,55905,3,0
$$HAR,13:59:50,420271522,-936539370,265918,0,27,106,98239,2699,55942,3,0
$$HAR,13:59:53,420271492,-936539367,265000,0,44,106,98239,2699,55974,3,0
$$HAR,13:59:56,420271479,-936539360,264379,0,71,105,98239,2699,56008,3,0
$$HAR,13:59:59,420271473,-936539349,264127,0,29,106,98241,2700,56031,3,0
$$HAR,14:00:02,420271473,-936539352,264022,0,214,105,98239,2701,56044,3,1
$$HAR,14:00:05,420271457,-936539306,264189,20086176,337,105,98241,2702,56062,3,0
$$HAR,14:00:08,420271421,-936539318,264034,20086176,147,117,98241,2704,56084,3,0
$$HAR,14:00:11,420271400,-936539349,263975,20086176,254,130,98243,2706,56066,3,0
$$HAR,14:00:14,420271366,-936539350,263453,20086176,167,105,98243,2708,56070,3,0
$$HAR,14:00:17,420271373,-936539375,263258,20086176,38,103,98243,2710,56052,3,0
$$HAR,14:00:20,420271404,-936539379,263117,20086176,122,103,98245,2712,56023,3,0
$$HAR,14:00:23,420271420,-936539410,263436,20086176,113,103,98243,2715,56005,3,0
$$HAR,14:00:26,420271427,-936539440,263622,20086176,81,103,98243,2718,55974,3,0
$$HAR,14:00:29,420271448,-936539433,263730,30545912,47,110,98243,2721,55935,3,0
$$HAR,14:00:32,420271440,-936539445,263763,30545912,173,110,98241,2723,55912,3,0
$$HAR,14:00:35,420271421,-936539449,263814,30545912,88,110,98243,2726,55894,3,0
$$HAR,14:00:38,420271429,-936539431,263642,30545912,163,128,98243,2729,55848,3,0
$$HAR,14:00:41,420271426,-936539446,263348,30545912,10,120,98243,2732,55805,3,0
$$HAR,14:00:44,420271416,-936539454,262972,30545912,37,120,98243,2735,55750,3,0
$$HAR,14:00:47,420271410,-936539476,262708,30545912,54,102,98239,2738,55695,3,0
$$HAR,14:00:50,420271417,-936539512,262378,30545912,70,110,98241,2740,55659,3,0
$$HAR,14:00:53,420271424,-936539529,262206,30545912,81,109,98239,2743,55639,3,0
$$HAR,14:00:56,420271437,-936539524,262186,30545912,65,110,98243,2746,55587,3,0
$$HAR,14:00:59,420271460,-936539520,262422,30545912,58,119,98241,2749,55537,3,0
$$HAR,14:01:02,420271493,-936539529,262962,30545912,72,110,98239,2751,55489,3,0
$$HAR,14:01:05,420271521,-936539528,263225,30545912,22,113,98241,2754,55448,3,0
$$HAR,14:01:08,420271545,-936539530,263358,30545912,175,103,98239,2757,55430,3,0
$$HAR,14:01:11,420271542,-936539503,263215,30545912,312,111,98241,2760,55391,3,0
$$HAR,14:01:14,420271538,-936539482,263164,30545912,64,120,98241,2763,55341,3,0
$$HAR,14:01:17,420271558,-936539468,263542,30545912,21,104,98241,2766,55293,3,0
$$HAR,14:01:20,420271575,-936539460,264064,30545912,91,104,98241,2768,55244,3,0
$$HAR,14:01:23,420271579,-936539435,264394,30545912,100,106,98239,2771,55194,3,0
$$HAR,14:01:26,420271581,-936539443,264752,30545912,8,104,98241,2774,55172,3,0
$$HAR,14:01:29,420271566,-936539438,264524,30545912,51,102,98239,2777,55117,3,0
$$HAR,14:01:32,420271537,-936539451,264194,30545912,67,102,98241,2780,55098,3,0
$$HAR,14:01:35,420271491,-936539460,263612,30545912,156,116,98243,2782,55085,3,0
$$HAR,14:01:38,420271478,-936539448,263576,30545912,98,111,98241,2785,55049,3,0
$$HAR,14:01:41,420271477,-936539426,264219,30545912,93,111,98241,2788,54988,3,0
$$HAR,14:01:44,420271453,-936539415,264216,30545912,116,113,98239,2791,54951,3,0
$$HAR,14:01:47,420271415,-936539415,264190,30545912,60,113,98239,2794,54918,3,0
$$HAR,14:01:50,420271397,-936539413,264078,30545912,103,113,98241,2796,54894,3,0
$$HAR,14:01:53,420271387,-936539386,263556,30545912,154,113,98241,2799,54859,3,0
$$HAR,14:01:56,420271381,-936539360,263236,30545912,16,113,98239,2802,54813,3,0
$$HAR,14:01:59,420271376,-936539362,263372,30545912,124,113,98241,2804,54791,3,0
$$HAR,14:02:02,420271374,-936539351,263688,30545912,152,111,98239,2807,54790,3,0
$$HAR,14:02:05,420271404,-936539359,264353,30545912,193,105,98237,2809,54748,3,0
$$HAR,14:02:08,420271429,-936539315,263885,30545912,539,111,98241,2812,54681,3,0
$$HAR,14:02:11,420271469,-936539319,264572,24757884,389,119,98241,2815,54642,3,0
$$HAR,14:02:14,420271442,-936539354,265448,24757884,78,123,98239,2817,54587,3,0
$$HAR,14:02:17,420271423,-936539348,265825,24757884,27,116,98241,2820,54579,3,0
$$HAR,14:02:20,420271445,-936539344,266328,24757884,59,116,98239,2823,54531,3,0
$$HAR,14:02:23,420271424,-936539362,266084,24757884,114,123,98237,2826,54526,3,0
$$HAR,14:02:26,420271448,-936539348,266338,24757884,184,133,98241,2828,54516,3,0
$$HAR,14:02:29,420271507,-936539336,267064,24757884,50,133,98241,2831,54504,3,0
$$HAR,14:02:32,420271482,-936539324,267059,24757884,156,126,98241,2834,54484,3,0
$$HAR,14:02:35,420271453,-936539286,267005,17826870,809,126,98239,2837,54428,3,0
$$HAR,14:02:38,420271520,-936539258,266120,5076219,86,121,98239,2840,54375,3,0
$$HAR,14:02:41,420271490,-936539233,265595,8558442,926,152,98239,2843,54346,3,0
$$HAR,14:02:44,420271678,-936539017,265634,931167,1222,126,98241,2845,54317,3,0
$$HAR,14:02:47,420272045,-936539021,265946,886702,1395,127,98241,2849,54308,3,0
$$HAR,14:02:50,420272439,-936538834,265028,2451002,1632,132,98239,2852,54262,3,0
$$HAR,14:02:53,420272834,-936538612,264219,1989435,1527,132,98241,2855,54227,3,0
$$HAR,14:02:56,420273250,-936538468,263706,1337884,1420,124,98241,2858,54184,3,0
$$HAR,14:02:59,420273622,-936538307,261694,1923214,739,126,98243,2861,54153,3,0
$$HAR,14:03:02,420273829,-936538431,262579,32445694,612,130,98243,2863,54118,3,0
$$HAR,14:03:05,420273820,-936538469,263004,32445694,177,117,98245,2867,54044,3,0
$$HAR,14:03:08,420273838,-936538446,263277,32445694,112,117,98245,2870,53968,3,0
$$HAR,14:03:11,420273828,-936538438,263385,32445694,188,117,98247,2872,53927,3,0
$$HAR,14:03:14,420273789,-936538439,263618,26223030,628,117,98247,2875,53881,3,0
$$HAR,14:03:17,420273554,-936538462,263798,17209272,961,117,98247,2878,53818,3,0
